Date,close,high,low,open,volume,year,month,day,day_of_week
1986-09-10,0.0643870159983635,0.0659832820790712,0.0643870159983635,0.0654511933855019,10886400,1986,9,10,2
1986-09-11,0.0617259666323661,0.0649191111209279,0.0617259666323661,0.0643870223746654,35654400,1986,9,11,3
1986-09-12,0.060129702091217,0.0622586691473608,0.060129702091217,0.0617259683750716,24451200,1986,9,12,4
1986-09-15,0.0611938871443271,0.0611938871443271,0.0590655318372715,0.0601297094907993,22492800,1986,9,15,0
1986-09-16,0.0611938871443271,0.061725975971091,0.0601297094907993,0.0611938871443271,5184000,1986,9,16,1
1986-09-17,0.0627907365560531,0.0638549137167392,0.0606617702238847,0.0611938588042278,8035200,1986,9,17,2
1986-09-18,0.0633228495717048,0.0643870271430406,0.0627907607860369,0.0627907607860369,5356800,1986,9,18,3
1986-09-19,0.0633228495717048,0.0638549383573727,0.0627907607860369,0.0633228495717048,2505600,1986,9,19,4
1986-09-22,0.0627907365560531,0.0633228251363962,0.0627907365560531,0.0633228251363962,4492800,1986,9,22,0
1986-09-23,0.0638549327850341,0.064387021524269,0.0627907553065644,0.0627907553065644,5961600,1986,9,23,1
1986-09-24,0.0630567893385887,0.063854920004067,0.0627907427385991,0.063854920004067,4780800,1986,9,24,2
1986-09-25,0.0617259666323661,0.0633228448821405,0.0617259666323661,0.0630568027926324,5155200,1986,9,25,3
1986-09-26,0.0617259666323661,0.0622586673896156,0.0611938778861037,0.0617259666323661,2332800,1986,9,26,4
1986-09-29,0.060129702091217,0.0617259683750716,0.060129702091217,0.0617259683750716,6192000,1986,9,29,0
1986-09-30,0.060129702091217,0.0611938796137868,0.060129702091217,0.060129702091217,5184000,1986,9,30,1
1986-10-01,0.0595976114273071,0.0611938776602017,0.0585334339387107,0.0601297001716053,32428800,1986,10,1,2
1986-10-02,0.0595976114273071,0.0606617889159035,0.0590655226830089,0.0595976114273071,22723200,1986,10,2,3
1986-10-03,0.060129702091217,0.0606617908525019,0.0595976133299321,0.0595976133299321,14716800,1986,10,3,4
1986-10-06,0.0649190992116928,0.0659832765089972,0.0617259553089048,0.0617259553089048,85334400,1986,10,6,0
1986-10-07,0.0662493482232093,0.0675795680653255,0.0649191238138461,0.0649191238138461,59788800,1986,10,7,1
1986-10-08,0.0681116133928299,0.068909743874651,0.0654511708413525,0.0662493058904178,119606400,1986,10,8,2
1986-10-09,0.0702399909496307,0.0718368690258509,0.0681116361958978,0.0681116361958978,92563200,1986,10,9,3
1986-10-10,0.0734331309795379,0.0750293969554607,0.0691758096995243,0.0702399870168061,76752000,1986,10,10,4
1986-10-13,0.0702399909496307,0.0734331350911506,0.0702399909496307,0.0734331350911506,27129600,1986,10,13,0
1986-10-14,0.0713041871786117,0.0718368880188062,0.0707720983494995,0.0707720983494995,12873600,1986,10,14,1
1986-10-15,0.0744972974061966,0.0750293859870524,0.0713041539102645,0.0713041539102645,63532800,1986,10,15,2
